text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
Happy New Year #ADA #Cardano https://t.co/dok4yyWylh,en,"Sydney, Australia",Australia,AU,"[[[150.520929, -34.118347], [150.520929, -33.578141], [151.343021, -33.578141], [151.343021, -34.118347]]]",MoonSunTruth,Sun Dec 31 23:29:29 +0000 2017,0,0,0,False,0,False,
From the archive: Cardano launches Ada on Binance exchange https://t.co/nQla4YhSU6 #banklesstimes,en,Castlegar,,,,BanklessTimes,Sun Dec 31 22:59:46 +0000 2017,0,0,0,False,0,False,
"LATEST DEV RELEASE!
#RDD #reddcoin #cryptocurrency #NEM #cardano #blockchain #BTC #altcoins #Vergecurrency #stratis #ICO #crypto #FreeTips https://t.co/F2HPU66W6M",en,Australia,,,,PasCarbs,Sun Dec 31 22:55:58 +0000 2017,0,0,3,False,0,False,
what you think of cardano aka ada....@officialmcafee,en,UK,,,,10Brett_,Sun Dec 31 22:07:39 +0000 2017,0,0,0,False,0,False,
"Impressed with my buys the last few weeks #ada and #xvg both climbing the ladder, definitely holding these coins for the future. 50% gains already.

#verge #cardano #altcoin #hodl #cryptocurrency #bestcoins https://t.co/ERzcgr8NbI",en,"Sydney, New South Wales",,,,troyclements17,Sun Dec 31 21:14:35 +0000 2017,0,0,0,False,0,False,
WHY CARDANO WILL MAKE YOU RICH IN 2018!!!: https://t.co/N2IXXSWZXd via @YouTube,en,Canada,,,,kenhundos,Sun Dec 31 20:54:50 +0000 2017,0,0,0,False,0,False,
"NEO, TenX, Cardano, Iota, PowerLedger, POE and BNB. 
Powerful, and benefit the wider community.
Newbies - Buy Bitcoin here with low or no ID.
https://t.co/Z0zyQbVT08
https://t.co/RDxorW7JO6
Experienced traders - make Binance your go-to for Alts in 2018!
https://t.co/BzA7zo8ml6 https://t.co/f3Y6zLvlru",en,"Melbourne, Victoria",,,,CoinupMe,Sun Dec 31 20:23:32 +0000 2017,0,0,0,False,0,False,
#HappyNewYear 2018! And Thank You!! #cryptocurrency #blockchain #digitalcurrency #bitcoin #altcoins #fintech #ethereum #cardano #neo #lisk #verge #ardor #komodo #iota #nxt #litecoin #waves #eos #ripple #stellar #ethereumclassic #GOD https://t.co/djJxV1jA5T,en,United Kingdom,,,,OsazuwaEbohon,Sun Dec 31 17:45:04 +0000 2017,0,1,2,False,0,False,
From the archive: Cardano Foundation selects Z/Yen for blockchain research program https://t.co/1KVb50Na9N #banklesstimes,en,Castlegar,,,,BanklessTimes,Sun Dec 31 12:56:52 +0000 2017,0,0,0,False,0,False,
"This Week in Crypto #4 – Ripple, Blockchain 3.0, Cardano, 2018, Lightning Network https://t.co/EbouEO2TDG https://t.co/LChB1nIDSd",en,"Windsor, Ontario",,,,ILoveBitcoins2,Sun Dec 31 12:51:35 +0000 2017,0,0,0,False,0,False,
I liked a @YouTube video https://t.co/UnUSg3kOhZ IOHK | Cardano whiteboard; overview with Charles Hoskinson,en,Earth,,,,Jaffasoft,Sun Dec 31 12:47:31 +0000 2017,0,0,1,False,0,False,
I added a video to a @YouTube playlist https://t.co/UnUSg3kOhZ IOHK | Cardano whiteboard; overview with Charles Hoskinson,en,Earth,,,,Jaffasoft,Sun Dec 31 12:44:49 +0000 2017,0,0,0,False,0,False,
"Can you imagine people talking this way about USD or GBP? Crypto people are nuts.

https://t.co/YfHY3HutN4",en,"London, England",,,,iamacyborg,Sun Dec 31 12:43:05 +0000 2017,0,1,0,False,0,False,
Crypto Talk: I'm an ADA (Cardano) Fanboy / Why are the banks afraid of bitcoin?: https://t.co/Oh0seK9N0N via @YouTube,en,"Victoria, Australia",,,,Aaronelpis,Sun Dec 31 11:53:57 +0000 2017,0,0,0,False,0,False,
Ripple or Cardano: Which surging coin should you buy? https://t.co/LRK95nwaui via @findercomau,en,"Sydney, New South Wales",,,,Argos1963,Sun Dec 31 11:38:35 +0000 2017,0,0,0,False,0,False,
"Blockchain Evolution

Cardano - A 3rd generation example https://t.co/kMAoToFMHQ",en,"London, England",,,,colinbenne77,Sun Dec 31 11:15:09 +0000 2017,0,0,0,False,0,False,
Rentberry Applies #Blockchain Technology To Property Rental Industry - Launches Initial #Coin Offer @matrixthinker #crowdsale #blockchain #ICO #cryptocurrency #bitcoin #Ethereum #ripple #litecoin #cardano #verge #stellar #tron #status https://t.co/b95zEG5NHS https://t.co/6K2cPM69nO,en,Toronto,,,,mybeautyexperts,Sun Dec 31 10:57:09 +0000 2017,0,0,0,False,0,False,
Rentberry Applies #Blockchain Technology To Property Rental Industry - Launches Initial #Coin Offer @matrixthinker #crowdsale #blockchain #ICO #cryptocurrency #bitcoin #Ethereum #ripple #litecoin #cardano #verge #stellar #tron #status https://t.co/PcWT2tsTRP https://t.co/X5iAOP0Oop,en,TORONTO & MIAMI,,,,PamperJodi,Sun Dec 31 10:57:08 +0000 2017,0,0,0,False,0,False,
Rentberry Applies #Blockchain Technology To Property Rental Industry - Launches Initial #Coin Offer @matrixthinker #crowdsale #blockchain #ICO #cryptocurrency #bitcoin #Ethereum #ripple #litecoin #cardano #verge #stellar #tron #status https://t.co/acDGKsAVNS https://t.co/uw1qPPbwkn,en,Toronto,,,,mostpampered,Sun Dec 31 10:57:06 +0000 2017,0,0,0,False,0,False,
Rentberry Applies #Blockchain Technology To Property Rental Industry - Launches Initial #Coin Offer @matrixthinker #crowdsale #blockchain #ICO #cryptocurrency #bitcoin #Ethereum #ripple #litecoin #cardano #verge #stellar #tron #status https://t.co/5TfBaoahSP https://t.co/EgBt3gjeUm,en,"Toronto, Ontario",,,,socialroyalties,Sun Dec 31 10:57:05 +0000 2017,0,0,0,False,0,False,
