source,headline,content,date
TechBullion,Everything You Need to Know About Server Space,"... for cryptocurrencies and for the whole world) 2020, everyone thinks... 
Cardano. 1.5K. Cryptocurrency. Feburary – March Analysis For Cardano 
(ADAUSDT).","Dec 8, 2020"
Investing.com,"Jabil (JBL) Q1 Earnings Beat Estimates, Revenues Rise Y/Y","Andy Hecht · Cryptocurrency Leaders: Cardano And Polkadot, Four And Six On 
The Hit... By Andy Hecht - Feb 18, 2021 7 · More Analysis · Central Banks 
Rates ...","Dec 17, 2020"
Investing.com UK,"US Congress reaches deal on COVID-19 aid package, plans ...","Cardano Jumps 20.45% In Bullish Trade By Investing.com - Feb 20, 2021 ... 
Cryptocurrency Leaders: Cardano And Polkadot, Four And Six On The Hit... By 
Andy ...","Dec 21, 2020"
FXStreet,Cardano Price Prediction: ADA bulls set to recapture $0.15 mark and beyond,"Cardano (ADA/USD) is looking to extend the early spike following a brief 
consolidative stint over the last hours. The bulls are gearing up for the 
next leg higher ...","Dec 12, 2020"
U.Today,Cardano Reaches Major Decentralization Milestone,"This marks a major decentralization milestone for the proof of stake (PoS) 
blockchain created by Ethereum cofounder and IOHK CEO Charles Hoskinson. 
Cardano ...","Nov 2, 2020"
Modern Consensus,Ben Goertzel is putting artificial intelligence into decentralized finance,"SingularityNET's founder discusses his new DAO, sci-fi level AI coming to 
crypto finance, his frustration with Ethereum, and embrace of Cardano. By 
Dylan Love / ...","Nov 13, 2020"
newsbtc.com,Charted: Cardano (ADA) Daily Chart Indicates A Significant Bullish Wave,"Cardano's price surged above the main $0.1000 resistance level and started 
a strong increase. ADA is likely to continue higher towards $0.1250 in the 
coming ...","Oct 13, 2020"
Yahoo Finance,RXN or AOS: Which Is the Better Value Stock Right Now?,"... Dogecoin Army Recruit Gene Simmons Turns Cardano Adherent — Here's 
WhyDelay Pfizer COVID-19 Vaccine's 2nd Inoculation To Boost Supply?","Dec 3, 2020"
Cointelegraph,DeFi could be coming to Cardano,"DeFi could be coming to Cardano. IOHK's Project Catalyst names Liqwid as a 
potential candidate to receive up to $250,000 in ADA funding. 18880 ...","Dec 8, 2020"
FXStreet,Cardano Price Forecast: ADA sits in a no-trade zone while momentum builds up,"Cardano price is currently bounded inside a parallel channel on the hourly 
chart. Bollinger Bands squeezing indicates a significant breakout could 
happen soon.","Nov 30, 2020"
AMBCrypto,"Cardano, Tron, VeChain Price Analysis: 29 December","After Bitcoin breached the $27,000 resistance, a minor correction soon 
followed. However, the pullback was not enough to deter Cardano and VeChain 
from ...",1 month ago
Benzinga,"Ethereum, Cardano & Band Protocol - American Wrap: 12/17 ...","Cardano price is up by only 13% since Wednesday, which means bulls still 
have a lot of room to the upside. Cardano has established a crucial 
resistance level at ...","Dec 17, 2020"
AMBCrypto,"‘I do not consider Ethereum Classic my child,’ says Cardano’s Hoskinson","'I do not consider Ethereum Classic my child,' says Cardano's Hoskinson. 
Samyuktha Sriram. Published. 2 months ago. on. December 31, 2020.",1 month ago
Brave New Coin,Cardano Price Analysis - Fundamental indicators on the rise ...,"Cardano (ADA) is a smart contract platform focused on peer-review and 
scientific study, marketed as a “third generation blockchain.” The Cardano 
price is down ...","Dec 2, 2020"
Crypto Mode,5 Recent Cardano Developments you may Have Missed in ...,"Cardano and the US Congress More often than not, it is not exactly 
beneficial for crypto or blockchain projects to attract attention from 
regulators. · DeFi is Coming ...","Oct 26, 2020"
AMBCrypto,"Ethereum, Ethereum Classic, Cardano Price Analysis: 25 December","After Bitcoin noted a gain in price, altcoins Ethereum, Ethereum Classic 
and Cardano followed suit and rose along with the broader market.","Dec 26, 2020"
Crypto News Flash,Cardano: Hoskinson wants to reach 1 billion users via community hubs,"Charles Hoskinson reveals the dream of building Cardano community hubs 
across all continents of the world. Hopes that by 2025, Cardano would be 
able to ...","Nov 23, 2020"
iNVEZZ,Cardano’s Charles Hoskinson furious due to political emails,"Cardano's CEO, Charles Hoskinson, recently received a political email from 
Expensify's CEO. Soon enough, he discovered that the same is true for most 
of ...","Oct 24, 2020"
Decrypt,Cardano’s Charles Hoskinson: How Crypto Should Work Together,"Cardano's Charles Hoskinson: How Crypto Should Work Together. The Cardano 
founder explained why blockchain projects should strive for 
interoperability and ...","Nov 20, 2020"
