,source,date,headline,content
0,TechBullion,"Dec 8, 2020",everything need know server space,"... cryptocurrencies whole world ) 2020 , everyone thinks ... cardano . 1.5k . cryptocurrency . feburary – march analysis cardano ( adausdt ) ."
1,Investing.com,"Dec 17, 2020","jabil ( jbl ) q1 earnings beat estimates , revenues rise y/y","andy hecht · cryptocurrency leaders : cardano polkadot , four six hit ... andy hecht - feb 18 , 2021 7 · analysis · central banks rates ..."
2,Investing.com UK,"Dec 21, 2020","us congress reaches deal covid-19 aid package , plans ...","cardano jumps 20.45 % bullish trade investing.com - feb 20 , 2021 ... cryptocurrency leaders : cardano polkadot , four six hit ... andy ..."
3,FXStreet,"Dec 12, 2020",cardano price prediction : bulls set recapture $ 0.15 mark beyond,cardano ( ada/usd ) looking extend early spike following brief consolidative stint last hours . bulls gearing next leg higher ...
4,U.Today,"Nov 2, 2020",cardano reaches major decentralization milestone,marks major decentralization milestone proof stake ( pos ) blockchain created ethereum cofounder iohk ceo charles hoskinson . cardano ...
5,Modern Consensus,"Nov 13, 2020",goertzel putting artificial intelligence decentralized finance,"singularitynet 's founder discusses new dao , sci-fi level coming crypto finance , frustration ethereum , embrace cardano . dylan love / ..."
6,newsbtc.com,"Oct 13, 2020",charted : cardano ( ) daily chart indicates significant bullish wave,cardano 's price surged main $ 0.1000 resistance level started strong increase . likely continue higher towards $ 0.1250 coming ...
7,Yahoo Finance,"Dec 3, 2020",rxn : better value stock right ?,... dogecoin army recruit gene simmons turns cardano adherent — 's whydelay pfizer covid-19 vaccine 's 2nd inoculation boost supply ?
8,Cointelegraph,"Dec 8, 2020",defi could coming cardano,"defi could coming cardano . iohk 's project catalyst names liqwid potential candidate receive $ 250,000 funding . 18880 ..."
9,FXStreet,"Nov 30, 2020",cardano price forecast : sits no-trade zone momentum builds,cardano price currently bounded inside parallel channel hourly chart . bollinger bands squeezing indicates significant breakout could happen soon .
10,AMBCrypto,1 month ago,"cardano , tron , vechain price analysis : 29 december","bitcoin breached $ 27,000 resistance , minor correction soon followed . however , pullback enough deter cardano vechain ..."
11,Benzinga,"Dec 17, 2020","ethereum , cardano & band protocol - american wrap : 12/17 ...","cardano price 13 % since wednesday , means bulls still lot room upside . cardano established crucial resistance level ..."
12,AMBCrypto,1 month ago,"‘ consider ethereum classic child , ’ says cardano ’ hoskinson","' consider ethereum classic child , ' says cardano 's hoskinson . samyuktha sriram . published . 2 months ago . . december 31 , 2020 ."
13,Brave New Coin,"Dec 2, 2020",cardano price analysis - fundamental indicators rise ...,"cardano ( ) smart contract platform focused peer-review scientific study , marketed “ third generation blockchain. ” cardano price ..."
14,Crypto Mode,"Oct 26, 2020",5 recent cardano developments may missed ...,"cardano us congress often , exactly beneficial crypto blockchain projects attract attention regulators . · defi coming ..."
15,AMBCrypto,"Dec 26, 2020","ethereum , ethereum classic , cardano price analysis : 25 december","bitcoin noted gain price , altcoins ethereum , ethereum classic cardano followed suit rose along broader market ."
16,Crypto News Flash,"Nov 23, 2020",cardano : hoskinson wants reach 1 billion users via community hubs,"charles hoskinson reveals dream building cardano community hubs across continents world . hopes 2025 , cardano would able ..."
17,iNVEZZ,"Oct 24, 2020",cardano ’ charles hoskinson furious due political emails,"cardano 's ceo , charles hoskinson , recently received political email expensify 's ceo . soon enough , discovered true ..."
18,Decrypt,"Nov 20, 2020",cardano ’ charles hoskinson : crypto work together,cardano 's charles hoskinson : crypto work together . cardano founder explained blockchain projects strive interoperability ...
19,Investing.com,"Dec 23, 2020",cardano falls 12 % rout investing.com,"highest , cardano 's market cap $ 23.917000b . cardano traded range $ 0.141072 $ 0.157753 previous twenty-four hours . past ..."
20,The Daily Hodl,"Oct 7, 2020","top trader bracing bitcoin ethereum reversals , warns cardano , zilliqa , polkadot vechain crosshairs",crypto analyst keeping tabs cardano ( ) . says ethereum competitor poised lose 33 % value current price $ 0.09 ...
21,FXStreet,"Oct 30, 2020",price poised rebound cardano community prepares goguen,"native tokens coming cardano , goguen mainnet set launch february 2021. official roadmap cardano divided five categories ..."
22,TWJ News,"Nov 7, 2020",cardano rolls latest version daedalus ( 2.4.1 ),lot happening input output hk cardano . platform 's daedalus wallet work progress . platform ...
23,Coindesk,"Dec 5, 2020",cardano launch hard fork next major development phase - coindesk,"dubbed “ goguen , ” third phase focused protocol 's integration smart contracts building cardano 's foundation decentralizing ..."
24,https://bitnewstoday.com/,"Nov 17, 2020",cardano goguen update details,"according dimitris poulpoulous volodymyr hulchenko , greatest progress terms work cardano update achieved ..."
25,Yahoo Finance,1 month ago,"ethereum , cardano & polkadot - american wrap december 28 , 2020",cardano trading inside parallel channel month 's getting closer breakout . bulls managed secure several critical support ...
26,AMBCrypto,"Dec 25, 2020","lack stablecoin regulations could ‘ dangerous , ’ says cardano ’ hoskinson","lack stablecoin regulations could 'dangerous , ' says cardano 's hoskinson . namrata shukla . published . 2 months ago . . december 25 , 2020 ."
27,Forex Crunch,"Dec 21, 2020",cardano price prediction : no-trade zone momentum builds high ...,cardano price contained inside symmetrical triangle pattern 12-hour chart . · digital asset trades right middle pattern awaiting clarity . · ...
28,FXStreet,"Dec 3, 2020","cardano price verge massive move , suggests critical indicator","cardano price contained inside ascending triangle pattern 4-hour chart , ready burst . breakout breakdown likely drive 30 % ..."
29,Crypto News Flash,"Nov 27, 2020",cardano : iohk reports goguen ’ progress hfc december,cardano 's progress erc20 converter . interesting tools production cardano ethereum erc20 token converter . tool ...
30,FXStreet,"Oct 28, 2020",cardano price forecast : drops 6.50 % following rejection $ 0.11 resistance line,cardano dropped $ 0.11 $ 0.103 october 23 october 28 . · verge flashing buy signal 12-hour chart red ...
32,CryptoNinjas,"Dec 10, 2020",bondly first defi project enabled cardano blockchain,"initial projects include moving bondly 's cryptocurrency cardano , building e-commerce marketplaces make trading digital assets simpler ..."
33,Benzinga,1 month ago,"ripple , cardano & chainlink - american wrap december ...","cardano price major 13 % jump clear breakout ascending triangle pattern 12-hour chart . despite significant pump , seems ..."
34,AMBCrypto,"Nov 25, 2020",cardano short-term price analysis : 25 november,"attaining new $ 0.1835 yesterday , cardano currently minor decline short-term chart . collective market still bullish , little bit neutrality ..."
35,Live Bitcoin News,"Dec 8, 2020",cardano ( ) price analysis : signs bearish breakdown,cardano price started downside correction failed surpass $ 0.1740 resistance us dollar . ada/usd pair traded $ 0.1700 ...
36,https://cryptohamster.org/,"Oct 23, 2020",индустрии криптовалют восторге последних ...,"... « дурак » станет искать нефиатные инвестиции · 19.02.2021 виктория ляпота 0 · джин симмонс сказал , добавил свои сумки cardano ..."
37,BeInCrypto,"Oct 30, 2020",cardano ( ) fails overtake crucial resistance level,cardano ( ) failed break long-term descending resistance line suffered sharp drop rejection . technical indicators suggest ...
38,TechBullion,"Dec 8, 2020","ceo weplay esports humeniuk talks industry , media holding company , hobbies",cardano . 1.4k . cryptocurrency . feburary ...
